date,open,high,low,close,volume
2026-06-01,737.04,745.65,735.99,742.74,33890559.792122
2026-06-02,742.4,746.44,739.23,746.16,30085237.969345
2026-06-03,747.31,748.65,741.01,744.21,40270198.385922
2026-06-04,735.48,743.4988,732.62,740.61,40782580.072971
2026-06-05,730.06,731.69,704.32,705.06,99606571.98303
2026-06-08,717.81,723.03,713.07,716.07,47401451.421172
2026-06-09,722.98,725.66,686.37,707.83,91932171.420546
2026-06-10,701.66,711.28,692.93,693.69,65334283.425864
2026-06-11,699.29,718.3721,695.0,717.12,71798857.404739
2026-06-12,717.61,724.01,711.28,721.34,51236021.374119
2026-06-15,738.1,744.7599,737.38,744.0,46710216.449718
2026-06-16,742.25,744.22,729.64,729.86,45348675.743651
2026-06-17,735.19,735.68,720.85,722.51,51669322.33773
2026-06-18,737.2,741.82,732.51,740.62,50154595.664066
2026-06-22,742.02,745.45,734.39,737.95,43518595.970173
2026-06-23,715.74,723.61,712.1101,713.65,53354151.342564
2026-06-24,715.37,719.93,704.45,710.62,52480437.913235
2026-06-25,725.9,726.83,705.3,716.38,50144089.997273
2026-06-26,707.13,715.555,702.81,706.52,47081821.426114
2026-06-29,713.99,724.58,705.172,724.08,44939090.959574
2026-06-30,724.18,737.62,723.91,736.4,42121829.455388
2026-07-01,729.19,731.92,724.6,725.17,40803791.178784
2026-07-02,725.58,730.83,707.56,712.6,51086080.351258
